Date,Store,StoreType,Sales,Customers,Promo,Holiday,DayOfWeek,CompetitionDistance
2024-08-30,S03,A,128.52,6,0,0,4,692.1
2024-01-14,S06,A,116.62,5,0,0,6,1426.7
2023-05-18,S06,A,102.33,3,0,0,3,671.3
2024-10-04,S10,A,196.95,8,0,0,4,1266.8
2024-12-03,S10,A,265.69,31,0,0,1,919.0
2023-03-09,S07,A,100.29,4,0,0,3,1062.9
2024-01-20,S02,A,336.6,15,0,0,5,725.3
2023-02-27,S07,A,122.6,6,0,0,0,1110.2
2024-09-23,S06,A,90.8,4,0,0,0,1209.2
2023-06-15,S07,A,115.52,4,0,0,3,911.7
2024-01-21,S03,A,111.13,5,0,0,6,1126.8
2023-10-30,S06,A,91.27,6,0,0,0,1462.8
2024-03-26,S08,A,159.88,8,0,0,1,737.6
2023-10-03,S10,A,161.44,6,0,0,1,1234.4
2024-05-25,S08,A,197.77,8,0,0,5,1104.2
2024-02-29,S02,A,336.9,13,0,0,3,984.5
2023-06-03,S04,C,219.01,8,0,0,5,1393.1
2023-02-24,S05,B,253.1,13,0,0,4,806.9
2023-10-15,S05,B,363.62,14,1,0,6,914.9
2024-06-20,S01,C,206.17,9,0,0,3,936.9
2024-10-03,S02,A,299.87,11,0,0,3,1308.5
2024-10-04,S06,A,141.91,9,0,0,4,371.9
2024-06-11,S06,A,90.9,4,0,0,1,532.4
2023-08-04,S06,A,93.48,5,0,0,4,1242.7
2024-08-03,S07,A,137.0,6,0,0,5,429.7
2024-06-04,S07,A,81.05,3,0,0,1,1758.1
2023-08-16,S07,A,102.96,4,0,0,2,948.1
2023-11-06,S02,A,309.36,29,0,1,0,1310.0
2024-05-06,S09,C,124.97,5,0,0,0,1305.0
2023-08-18,S09,C,124.83,7,0,0,4,787.7
2024-05-02,S01,C,231.58,9,0,0,3,1662.4
2024-04-22,S02,A,327.29,16,0,0,0,930.7
2023-05-03,S02,A,349.3,25,0,0,2,1093.7
2023-04-03,S08,A,111.46,7,0,0,0,805.1
2024-01-30,S08,A,190.16,10,1,0,1,707.3
2024-11-18,S05,B,236.18,12,0,0,0,642.5
2023-01-04,S08,A,133.95,4,0,0,2,992.0
2023-12-05,S09,C,184.28,6,0,0,1,257.0
2023-01-24,S01,C,297.41,20,0,0,1,891.7
2024-04-01,S03,A,133.5,8,0,0,0,1272.3
2023-05-31,S10,A,179.13,10,0,0,2,1229.2
2024-08-25,S10,A,271.36,12,1,0,6,967.2
2023-01-11,S02,A,300.19,14,0,0,2,1183.1
2024-10-24,S01,C,283.12,11,0,0,3,1334.5
2023-10-23,S03,A,124.33,10,0,0,0,1062.4
2023-04-28,S07,A,102.74,3,0,0,4,450.5
2024-04-20,S07,A,136.66,7,1,0,5,1113.9
2023-09-15,S10,A,187.17,8,0,0,4,1156.0
2024-05-11,S01,C,409.32,16,1,0,5,1049.8
2023-04-11,S06,A,84.1,14,0,0,1,1311.5
2023-02-03,S03,A,127.59,7,0,0,4,1539.3
2024-10-05,S01,C,337.28,17,0,0,5,242.2
2024-07-28,S02,A,364.07,15,0,0,6,1082.2
2024-09-28,S09,C,157.5,14,0,0,5,804.6
2024-09-05,S10,A,243.44,13,0,0,3,1191.8
2023-11-27,S08,A,118.81,4,0,0,0,1068.1
2023-08-14,S03,A,128.7,4,0,0,0,1103.8
2024-12-19,S08,A,120.0,6,0,0,3,1451.9
2023-06-11,S07,A,121.21,17,0,0,6,831.4
2023-01-27,S04,C,264.74,12,0,0,4,501.7
2023-05-23,S07,A,141.0,4,1,0,1,979.6
2024-03-23,S02,A,334.05,13,0,0,5,1298.3
2023-01-18,S08,A,142.71,10,0,0,2,501.5
2024-08-22,S06,A,115.91,5,0,0,3,1339.9
2023-01-08,S10,A,196.59,8,0,0,6,1055.9
2023-03-16,S03,A,112.22,10,0,0,3,1425.9
2023-03-18,S04,C,300.13,12,0,0,5,1426.7
2023-06-19,S10,A,153.67,7,0,0,0,663.5
2023-10-06,S10,A,219.73,10,0,0,4,1114.9
2024-01-14,S01,C,277.77,15,0,0,6,976.5
2024-05-22,S05,B,194.6,9,0,0,2,801.5
2023-06-29,S04,C,199.91,11,0,0,3,832.9
2024-09-08,S01,C,353.66,18,0,0,6,1085.9
2024-04-26,S08,A,130.34,5,0,0,4,1045.0
2023-09-22,S02,A,279.32,12,0,0,4,1386.8
2024-03-29,S05,B,230.5,9,0,0,4,1545.0
2024-06-25,S01,C,224.15,8,0,0,1,656.7
2023-08-12,S04,C,318.12,16,0,0,5,752.8
2023-04-06,S08,A,97.27,5,0,0,3,1137.5
2024-01-15,S01,C,248.05,11,1,0,0,770.5
2023-05-13,S03,A,113.96,3,0,0,5,1093.3
2024-01-05,S03,A,116.79,8,0,0,4,834.1
2023-09-24,S04,C,297.23,14,0,0,6,1174.2
2023-04-15,S08,A,166.97,9,0,0,5,361.8
2024-02-19,S09,C,157.74,9,0,0,0,743.8
2024-03-14,S03,A,141.72,8,0,0,3,1104.9
2023-04-21,S04,C,199.49,8,0,0,4,999.9
2024-02-10,S01,C,317.16,12,0,0,5,337.7
2023-08-29,S03,A,151.29,11,0,0,1,1084.4
2023-12-01,S10,A,234.79,10,0,0,4,1062.9
2023-04-14,S09,C,162.75,8,1,0,4,1116.7
2023-05-14,S01,C,301.75,29,0,0,6,493.2
2023-04-09,S03,A,95.56,5,0,0,6,1025.6
2024-06-30,S10,A,198.42,8,0,0,6,1046.7
2024-02-07,S03,A,153.43,6,1,0,2,1104.0
2023-12-17,S10,A,307.66,15,0,0,6,716.0
2024-05-26,S10,A,199.1,12,0,0,6,894.5
2024-04-21,S08,A,186.58,14,0,0,6,773.0
2024-09-14,S06,A,109.19,6,0,0,5,1021.1
2024-01-18,S02,A,465.57,24,0,0,3,547.0
2024-08-12,S07,A,102.19,4,0,0,0,375.9
2024-09-01,S06,A,147.98,8,0,0,6,900.7
2023-12-24,S05,B,303.35,13,0,0,6,1007.9
2023-10-17,S08,A,139.84,7,0,0,1,1060.5
2024-03-28,S07,A,124.71,6,1,0,3,448.1
2024-12-03,S03,A,135.43,6,0,0,1,1536.8
2023-08-07,S02,A,300.46,16,0,0,0,946.8
2023-02-10,S09,C,160.08,7,1,0,4,944.4
2024-01-30,S05,B,172.42,13,0,0,1,1130.0
2023-12-12,S09,C,205.21,8,1,0,1,1043.0
2023-07-23,S07,A,99.04,3,0,0,6,1160.3
2024-06-06,S04,C,182.06,8,0,0,3,1458.2
2023-03-06,S03,A,134.53,5,0,0,0,240.9
2023-03-16,S09,C,119.96,7,0,0,3,1485.2
2024-11-10,S08,A,178.25,7,0,0,6,528.2
2024-06-15,S07,A,142.71,6,0,0,5,720.2
2024-03-27,S06,A,89.07,3,0,0,2,1337.2
2023-12-16,S05,B,344.92,15,0,0,5,598.7
2024-09-24,S07,A,123.38,5,0,0,1,749.1
2023-09-06,S07,A,93.07,5,0,0,2,815.0
2024-09-29,S09,C,121.89,6,0,0,6,707.0
2024-04-29,S09,C,93.86,4,0,0,0,1354.9
2023-11-16,S07,A,195.28,8,1,0,3,382.3
2024-05-20,S06,A,92.57,5,0,0,0,769.8
2023-07-09,S04,C,218.45,11,0,0,6,850.4
2023-09-16,S06,A,137.18,4,1,0,5,1037.7
2024-02-06,S04,C,254.51,13,0,0,1,678.9
2023-04-10,S07,A,139.4,5,0,0,0,660.9
2024-06-16,S09,C,152.6,9,0,0,6,791.9
2024-11-18,S01,C,305.78,17,0,0,0,977.7
2024-06-10,S01,C,221.97,12,0,0,0,866.1
2023-08-05,S09,C,135.99,5,0,0,5,1319.6
2023-12-02,S01,C,414.72,24,0,0,5,468.4
2024-04-15,S10,A,245.95,24,1,0,0,591.1
2024-02-26,S08,A,159.21,7,0,0,0,590.1
2024-03-05,S10,A,201.05,8,1,0,1,944.2
2023-04-11,S03,A,129.29,5,1,0,1,1145.8
2023-01-19,S06,A,104.24,5,0,0,3,876.4
2023-09-05,S08,A,150.14,9,0,0,1,573.1
2023-05-31,S08,A,133.17,4,0,0,2,1322.3
2024-10-15,S10,A,191.09,12,0,0,1,679.2
2024-01-29,S04,C,237.29,11,0,0,0,552.7
2023-12-07,S05,B,249.72,23,0,0,3,1200.8
2024-03-26,S01,C,258.06,10,0,0,1,1129.3
2023-02-20,S04,C,176.5,9,0,0,0,1443.3
2024-11-12,S10,A,204.21,13,0,0,1,693.8
2023-10-27,S03,A,127.39,5,0,0,4,1092.1
2024-11-09,S02,A,460.49,21,0,0,5,1067.4
2023-07-22,S05,B,294.94,10,1,0,5,1055.5
2023-01-09,S08,A,77.33,5,0,0,0,982.1
2023-05-27,S08,A,129.3,5,0,0,5,1321.6
2024-06-14,S01,C,228.19,8,0,0,4,1167.9
2024-06-05,S04,C,226.68,10,0,0,2,649.9
2024-06-08,S04,C,162.52,12,0,0,5,847.1
2023-03-04,S06,A,108.22,5,0,0,5,1418.7
2023-09-19,S06,A,89.78,4,0,0,1,1439.6
2024-06-29,S06,A,120.09,7,0,0,5,1280.4
2024-10-18,S01,C,228.92,13,0,0,4,1299.1
2023-02-20,S10,A,154.69,10,0,0,0,1463.0
2024-11-23,S06,A,161.17,27,0,0,5,642.8
2024-05-21,S03,A,132.59,6,0,0,1,1359.2
2023-11-27,S04,C,252.72,10,0,0,0,1424.2
2024-04-03,S02,A,310.81,18,0,0,2,627.3
2024-05-11,S04,C,251.68,22,0,0,5,841.1
2023-08-24,S05,B,229.18,10,0,0,3,786.6
2024-11-14,S01,C,404.55,47,1,0,3,1241.9
2024-12-20,S07,A,109.49,5,0,0,4,1044.6
2024-10-08,S01,C,244.45,12,0,0,1,1315.0
2023-04-26,S04,C,296.15,10,0,0,2,648.5
2023-07-14,S02,A,243.84,20,0,0,4,1359.1
2023-07-24,S06,A,110.9,6,0,0,0,655.9
2023-06-03,S07,A,96.82,4,0,0,5,1205.9
2023-11-12,S02,A,462.97,28,0,0,6,1069.0
2024-09-09,S07,A,117.13,4,1,0,0,491.1
2024-12-27,S03,A,149.51,6,0,0,4,817.8
2024-10-06,S02,A,452.47,29,0,0,6,865.7
2023-01-17,S10,A,196.68,12,0,0,1,740.8
2024-01-26,S02,A,380.01,16,1,0,4,1464.9
2024-06-13,S03,A,117.12,6,0,0,3,915.6
2024-02-10,S02,A,408.72,26,0,0,5,662.8
2024-03-31,S03,A,152.84,7,0,0,6,1616.4
2023-05-13,S02,A,318.2,14,0,0,5,1230.7
2023-06-03,S06,A,108.99,4,0,0,5,923.9
2024-04-08,S05,B,187.87,14,0,0,0,986.0
2023-01-10,S06,A,116.9,5,0,0,1,414.4
2024-09-07,S02,A,318.32,14,0,0,5,1433.7
2024-03-26,S07,A,108.57,6,1,0,1,1807.1
2024-04-19,S07,A,103.17,5,0,0,4,1298.2
2023-09-28,S08,A,147.72,7,0,0,3,645.9
2024-01-03,S02,A,358.91,17,0,0,2,767.0
2024-04-06,S08,A,181.79,10,0,0,5,938.4
2024-09-09,S06,A,110.42,5,1,0,0,660.1
2024-08-10,S04,C,210.86,9,0,0,5,1822.9
2024-12-25,S10,A,274.28,10,0,0,2,664.3
2024-10-21,S09,C,134.65,7,0,0,0,951.1
2024-05-16,S08,A,112.06,5,0,0,3,1278.4
2024-12-09,S08,A,145.89,10,0,0,0,803.9
2023-01-07,S10,A,223.0,5,0,0,5,1154.1
2023-03-10,S04,C,253.49,16,0,0,4,1046.6
2023-06-09,S06,A,107.82,6,0,0,4,908.3
2024-03-01,S03,A,114.82,5,0,0,4,1126.6
2024-12-23,S08,A,208.13,15,1,0,0,759.4
2024-09-16,S10,A,188.81,7,0,0,0,1128.0
2023-12-16,S02,A,468.34,33,0,0,5,714.1
2024-09-04,S05,B,165.75,6,0,0,2,1227.5
2024-07-01,S01,C,202.1,6,0,0,0,1406.2
2023-12-07,S09,C,160.88,9,0,0,3,1382.4
2023-05-21,S01,C,253.22,16,0,0,6,1073.1
2023-02-12,S10,A,182.27,19,0,0,6,1152.4
2024-02-25,S10,A,224.96,17,0,0,6,899.1
2024-08-19,S01,C,244.52,11,0,0,0,1039.1
2023-12-28,S08,A,150.08,8,0,0,3,1207.8
2023-04-30,S08,A,189.07,15,0,0,6,1181.2
2023-01-02,S10,A,188.01,7,0,0,0,907.2
2024-02-04,S03,A,123.09,5,0,0,6,1061.0
2024-07-25,S06,A,104.34,5,0,0,3,1106.1
2024-02-02,S10,A,177.97,6,0,0,4,828.4
2023-11-13,S04,C,268.01,13,0,0,0,1080.7
2023-01-24,S10,A,177.91,9,0,0,1,1045.1
2024-01-17,S07,A,81.95,4,0,0,2,1288.3
2024-05-19,S05,B,260.38,11,0,0,6,799.9
2023-06-14,S10,A,171.62,7,0,0,2,599.6
2024-08-17,S03,A,167.31,6,0,0,5,833.8
2024-05-06,S08,A,127.58,10,0,0,0,955.9
2024-12-31,S07,A,122.17,5,0,0,1,1267.9
2023-03-28,S07,A,95.27,8,0,0,1,1360.0
2024-02-04,S05,B,272.44,11,0,0,6,243.0
2024-05-30,S07,A,99.18,4,0,0,3,823.2
2023-07-31,S05,B,184.21,9,0,0,0,956.9
2024-01-24,S08,A,162.14,9,0,0,2,822.6
2024-09-25,S10,A,180.62,6,0,0,2,649.8
2024-06-08,S02,A,418.3,26,1,0,5,866.0
2023-08-30,S09,C,151.39,7,0,0,2,1215.8
2023-06-22,S09,C,84.17,4,0,0,3,1312.1
2024-08-22,S05,B,200.13,7,0,0,3,1084.2
2023-05-29,S01,C,267.14,11,0,0,0,592.9
2024-12-06,S01,C,366.38,19,0,0,4,845.6
2023-09-09,S08,A,112.82,7,0,0,5,1575.2
2023-11-30,S03,A,157.28,6,0,0,3,400.5
2024-12-16,S01,C,356.19,15,0,0,0,612.9
2023-09-16,S07,A,111.93,4,0,0,5,577.8
2023-04-16,S06,A,129.33,6,0,0,6,474.5
2023-09-09,S07,A,143.33,6,0,0,5,1222.0
2024-12-02,S01,C,259.59,10,0,0,0,1044.4
2023-02-19,S07,A,153.52,8,0,0,6,542.3
2024-11-02,S06,A,119.69,8,0,0,5,1431.3
2023-05-26,S03,A,123.69,5,0,0,4,1068.1
2024-04-04,S04,C,294.25,18,0,0,3,1052.1
2023-07-07,S03,A,113.52,5,0,0,4,949.5
2023-10-24,S07,A,121.89,6,0,0,1,682.7
2024-12-07,S10,A,308.5,27,0,0,5,535.6
2023-02-25,S05,B,257.35,9,0,0,5,363.4
2024-09-13,S05,B,225.86,12,0,0,4,950.2
2023-12-06,S10,A,246.4,11,0,0,2,1309.1
2023-09-27,S03,A,148.54,6,0,0,2,975.2
2023-02-01,S10,A,195.68,8,0,0,2,1137.0
2023-06-17,S03,A,185.4,8,0,0,5,368.6
2023-02-09,S04,C,250.58,9,0,0,3,668.9
2024-07-06,S08,A,126.31,5,0,0,5,1165.2
2024-05-01,S05,B,206.43,19,0,0,2,1366.7
2024-02-06,S08,A,141.74,8,0,0,1,1333.1
2024-11-26,S02,A,335.61,20,0,0,1,1424.0
2023-03-28,S06,A,111.88,5,0,0,1,325.9
2023-06-11,S09,C,160.83,6,0,0,6,1354.5
2024-03-18,S05,B,244.46,11,1,0,0,1402.4
2024-09-05,S09,C,116.96,4,0,0,3,875.8
2024-06-30,S01,C,289.8,18,0,0,6,718.5
2024-09-07,S06,A,127.68,7,0,0,5,916.3
2023-05-07,S02,A,398.96,23,0,0,6,648.3
2024-11-09,S09,C,225.34,12,1,0,5,801.2
2024-08-30,S10,A,163.5,9,0,0,4,1529.0
2023-11-30,S08,A,128.5,7,0,0,3,1255.4
2023-02-15,S08,A,101.45,8,0,0,2,1513.5
2023-12-28,S05,B,292.11,16,0,0,3,751.2
2023-12-06,S04,C,218.5,10,0,0,2,1335.5
2023-08-29,S08,A,144.3,4,0,0,1,317.6
2024-02-03,S01,C,307.02,12,0,0,5,1295.4
2024-07-01,S03,A,118.96,9,0,0,0,427.8
2024-06-22,S03,A,143.9,8,0,0,5,1531.3
2024-12-11,S05,B,314.27,10,1,0,2,718.7
2023-04-25,S05,B,210.04,6,0,0,1,1156.7
2023-05-18,S04,C,226.71,11,0,0,3,688.1
2023-08-17,S08,A,148.52,6,0,0,3,1553.9
2023-07-06,S05,B,213.18,8,0,0,3,773.8
2024-10-25,S08,A,211.22,15,1,0,4,449.1
2023-09-28,S07,A,109.1,4,0,0,3,930.3
2023-02-16,S09,C,111.35,8,0,0,3,1298.8
2024-08-21,S04,C,325.65,14,1,0,2,1085.5
2024-12-08,S05,B,326.37,21,0,0,6,858.3
2023-01-06,S01,C,263.78,15,0,0,4,1075.1
2024-02-02,S02,A,278.96,13,0,0,4,784.7
2023-01-25,S06,A,136.46,5,1,0,2,1141.8
2023-11-04,S07,A,162.16,8,0,1,5,469.6
2023-12-19,S10,A,231.9,12,0,0,1,1096.5
2024-12-05,S03,A,139.32,7,0,0,3,1047.7
2023-03-15,S08,A,142.44,8,0,0,2,1181.4
2024-04-26,S01,C,252.24,9,0,0,4,504.4
2024-11-16,S02,A,412.65,20,0,0,5,1054.1
2024-08-20,S01,C,312.77,16,1,0,1,477.5
2024-07-22,S08,A,103.53,7,0,0,0,1169.9
2024-11-16,S10,A,294.58,17,0,0,5,1230.8
2024-11-02,S05,B,307.02,13,0,0,5,425.8
2024-04-13,S10,A,198.92,12,0,0,5,716.8
2024-04-16,S01,C,269.09,10,0,0,1,1208.1
2023-07-17,S10,A,248.44,7,1,0,0,525.8
2023-10-22,S05,B,286.19,12,0,0,6,854.0
2023-02-02,S02,A,296.19,10,0,0,3,1212.7
2024-07-22,S07,A,83.17,3,0,0,0,979.9
2024-03-19,S07,A,83.41,4,0,0,1,1448.4
2024-03-17,S02,A,381.4,15,0,0,6,1460.5
2023-08-06,S09,C,168.4,11,0,0,6,794.3
2024-05-13,S04,C,272.48,13,0,0,0,952.5
2024-06-07,S01,C,184.56,9,0,0,4,1235.1
2024-07-21,S05,B,299.24,17,1,0,6,1144.1
2024-09-27,S02,A,316.52,10,0,0,4,1154.4
2023-11-22,S01,C,320.64,21,0,0,2,854.6
2023-11-10,S06,A,101.4,5,0,0,4,1541.6
2024-12-13,S05,B,306.26,15,0,0,4,1101.1
2024-06-29,S03,A,160.83,7,1,0,5,751.6
2024-05-07,S09,C,138.72,6,0,0,1,1163.6
2023-02-17,S03,A,133.99,4,0,0,4,1017.1
2023-07-31,S01,C,171.44,9,0,0,0,1395.5
2023-01-24,S04,C,219.89,8,0,0,1,944.5
2023-01-07,S06,A,109.37,5,0,0,5,1115.6
2023-05-10,S08,A,116.57,11,0,0,2,1174.8
2023-04-15,S03,A,189.94,9,0,0,5,427.2
2024-05-29,S04,C,201.48,8,0,0,2,1356.5
2023-03-20,S10,A,167.37,6,0,0,0,487.8
2023-03-20,S07,A,116.88,7,0,0,0,467.1
2023-02-08,S02,A,302.06,15,0,0,2,1037.7
2024-11-13,S06,A,139.87,6,0,0,2,1008.9
2024-05-07,S03,A,159.84,19,0,0,1,1050.0
2023-12-21,S02,A,397.24,21,0,0,3,1405.8
2023-07-06,S01,C,234.53,8,0,0,3,1570.1
2023-01-22,S08,A,139.48,9,0,0,6,1338.0
2023-08-02,S02,A,285.98,11,0,0,2,800.6
2024-12-27,S01,C,319.48,20,1,0,4,1302.1
2024-04-18,S05,B,237.36,8,0,0,3,601.5
2024-08-18,S08,A,170.06,6,0,0,6,1087.2
2023-10-12,S08,A,130.22,6,0,0,3,591.4
2024-09-18,S01,C,246.72,9,0,0,2,928.7
2024-10-27,S08,A,139.21,9,0,0,6,884.6
2024-11-14,S03,A,141.9,6,0,0,3,1341.8
2023-06-23,S01,C,236.97,10,0,0,4,809.4
2023-10-20,S03,A,126.35,6,0,0,4,1304.7
2023-07-31,S06,A,109.51,4,1,0,0,1022.7
2023-02-16,S06,A,90.1,5,0,0,3,1055.4
2024-12-10,S05,B,245.35,9,0,0,1,544.3
2024-07-26,S03,A,105.76,3,0,0,4,691.0
2023-09-29,S09,C,146.54,7,1,0,4,1277.9
2023-07-03,S03,A,103.26,11,0,0,0,961.4
2023-07-28,S08,A,112.74,5,0,0,4,1232.0
2023-08-24,S08,A,116.14,4,0,0,3,719.0
2023-11-10,S10,A,223.46,11,0,0,4,1115.3
2023-04-25,S03,A,149.89,6,0,0,1,1075.8
2024-06-03,S07,A,79.95,5,0,0,0,672.4
2023-06-07,S06,A,115.11,6,0,0,2,100.0
2023-11-23,S03,A,185.83,15,0,0,3,1057.9
2023-06-17,S02,A,328.09,18,0,0,5,928.7
2024-10-04,S07,A,114.02,4,0,0,4,765.3
2024-12-31,S02,A,372.99,19,0,0,1,827.3
2024-09-20,S10,A,218.86,12,0,0,4,615.2
2024-07-28,S04,C,255.32,9,0,0,6,1333.9
2024-08-23,S10,A,185.53,12,0,0,4,891.3
2024-05-07,S02,A,386.54,17,0,0,1,853.7
2023-04-30,S04,C,353.37,13,0,0,6,680.1
2023-10-20,S07,A,99.39,6,0,0,4,1347.2
2024-12-04,S07,A,136.09,6,0,0,2,1054.3
2024-01-13,S01,C,258.57,16,0,0,5,962.3
2024-08-08,S09,C,111.27,6,0,0,3,1284.5
2023-08-22,S04,C,249.29,22,0,0,1,1119.6
2023-05-23,S01,C,235.28,9,0,0,1,1299.3
2024-04-15,S05,B,197.44,27,0,0,0,929.2
2024-02-03,S10,A,208.11,32,0,0,5,1463.2
2024-10-12,S04,C,249.9,17,0,0,5,877.3
2024-04-07,S09,C,115.72,4,0,0,6,1414.7
2024-05-22,S01,C,230.64,9,0,0,2,1280.9
2024-03-05,S07,A,123.56,4,1,0,1,1036.2
2024-10-13,S05,B,251.75,10,0,0,6,1254.7
2024-05-16,S01,C,215.11,9,0,0,3,712.1
2023-12-21,S03,A,133.54,5,0,0,3,1390.0
2023-04-10,S05,B,206.65,17,0,0,0,1219.7
2024-03-17,S01,C,325.07,14,0,0,6,518.6
2023-11-14,S07,A,125.78,5,0,0,1,1052.7
2024-06-16,S02,A,301.73,11,0,0,6,1045.6
2024-10-06,S01,C,273.8,9,0,0,6,1346.3
2023-01-05,S09,C,139.15,10,0,0,3,1078.0
2024-06-24,S04,C,242.99,11,0,0,0,738.8
2024-01-27,S01,C,401.14,16,0,0,5,691.0
2023-02-01,S09,C,146.78,6,0,0,2,975.4
2023-08-20,S01,C,337.84,15,0,0,6,765.3
2023-01-18,S07,A,94.78,4,0,0,2,1077.9
2024-12-03,S04,C,245.08,7,0,0,1,1024.6
2024-09-14,S03,A,164.67,6,0,0,5,907.6
2023-06-11,S06,A,80.73,4,0,0,6,1159.3
2024-09-17,S02,A,337.32,28,0,0,1,984.2
2023-12-13,S01,C,302.57,19,0,0,2,1704.7
2023-10-02,S03,A,159.48,8,0,0,0,870.2
2023-06-06,S10,A,192.59,9,0,0,1,854.8
2023-11-15,S08,A,177.15,6,0,0,2,759.0
2024-06-18,S10,A,194.34,15,0,0,1,605.0
2024-04-06,S09,C,153.95,10,0,0,5,954.6
2023-01-10,S02,A,273.71,12,0,0,1,1003.1
2024-05-16,S09,C,110.87,6,0,0,3,939.7
2024-07-30,S09,C,120.82,7,0,0,1,1333.6
2023-12-25,S04,C,277.56,10,0,0,0,952.0
2023-07-03,S06,A,77.64,10,0,0,0,1252.5
2024-08-14,S09,C,133.66,6,1,0,2,729.0
2023-02-13,S06,A,108.05,5,0,0,0,730.5
2024-08-28,S04,C,282.34,16,0,0,2,975.4
2024-05-24,S02,A,388.4,73,1,0,4,1274.9
2023-10-23,S05,B,169.64,7,0,0,0,872.3
2024-01-04,S07,A,152.04,10,1,0,3,828.4
2023-11-02,S01,C,305.91,12,0,0,3,1197.6
2023-06-23,S08,A,123.33,5,0,0,4,676.4
2023-09-27,S09,C,169.32,6,0,0,2,1012.6
2023-03-15,S07,A,109.39,7,0,0,2,906.1
2023-10-08,S03,A,106.84,6,0,0,6,1615.6
2023-01-11,S07,A,104.31,5,0,0,2,1097.2
2024-07-24,S05,B,234.9,11,1,0,2,914.5
2023-07-08,S01,C,237.88,40,0,0,5,1235.9
2024-03-01,S05,B,226.71,10,0,0,4,824.0
2024-06-08,S03,A,89.32,5,0,0,5,1411.3
2023-10-14,S06,A,119.39,4,0,0,5,940.6
2024-05-31,S03,A,188.59,8,0,0,4,536.6
2023-01-23,S03,A,147.85,21,0,0,0,923.5
2024-09-02,S05,B,199.84,8,0,0,0,1413.7
2023-10-31,S06,A,150.49,6,1,0,1,897.0
2023-08-19,S04,C,208.53,7,0,0,5,732.8
2024-01-29,S03,A,122.87,4,0,0,0,440.1
